bates_number,status
HOUSE_OVERSIGHT_010067,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010068,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010069,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010070,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010071,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010072,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010073,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010074,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010075,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010076,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010077,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010078,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010079,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010080,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010081,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010082,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010083,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010084,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010085,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010086,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010087,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010088,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010089,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010090,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010091,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010092,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010093,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010094,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010095,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010096,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010097,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010098,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010099,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010100,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010101,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010102,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010103,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010104,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010105,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010106,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010107,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010108,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010109,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010110,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010111,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010112,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010113,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010114,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010115,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010116,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010117,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010118,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010119,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010120,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010121,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010122,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010123,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010124,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010125,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010126,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010127,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010128,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010129,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010130,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010131,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010132,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010133,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010134,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010135,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010136,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010137,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010138,produced to House Oversight; not posted publicly
HOUSE_OVERSIGHT_010139,produced to House Oversight; not posted publicly
